
[OFFLINE] 192.168.0.45 caiu em 24/08/2025 06:37:02 | de = SRV-BOTANICO02
[ONLINE] 192.168.0.120 voltou em 24/08/2025 06:37:07 | de = PORTARIA
[ONLINE] 192.168.0.45 voltou em 24/08/2025 06:37:10 | de = SRV-BOTANICO02
[OFFLINE] 192.168.0.45 caiu em 24/08/2025 06:37:16 | de = SRV-BOTANICO02
[OFFLINE] 192.168.0.120 caiu em 24/08/2025 06:37:27 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 24/08/2025 06:37:34 | de = PORTARIA
[ONLINE] 192.168.0.45 voltou em 24/08/2025 06:37:35 | de = SRV-BOTANICO02
[OFFLINE] 192.168.0.45 caiu em 24/08/2025 06:37:41 | de = SRV-BOTANICO02
[OFFLINE] 192.168.0.120 caiu em 24/08/2025 06:37:43 | de = PORTARIA
[ONLINE] 192.168.0.45 voltou em 24/08/2025 06:37:46 | de = SRV-BOTANICO02
[ONLINE] 192.168.0.120 voltou em 24/08/2025 06:38:06 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 24/08/2025 06:38:15 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 24/08/2025 06:38:39 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 24/08/2025 06:39:09 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 24/08/2025 06:39:16 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 24/08/2025 06:59:28 | de = PORTARIA
[ONLINE] 192.168.0.1 voltou em 24/08/2025 06:59:39 | de = PORTARIA
[ONLINE] 192.168.0.45 voltou em 24/08/2025 06:59:40 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 24/08/2025 06:59:42 | de = PORTARIA
[OFFLINE] 192.168.0.1 caiu em 25/08/2025 12:39:27 | de = SRV-BOTANICO02
[ONLINE] 192.168.0.1 voltou em 25/08/2025 12:39:29 | de = SRV-BOTANICO02
[OFFLINE] 192.168.0.45 caiu em 25/08/2025 17:51:28 | de = SRV-BOTANICO02
[ONLINE] 192.168.0.45 voltou em 25/08/2025 17:51:30 | de = SRV-BOTANICO02
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 04:44:43 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 04:45:01 | de = PORTARIA
